Video,Log ID,Network Trace,Draco_stalls,Draco_geo_no_stalls,Draco_geo_with_stalls,Draco_color_no_stalls,Draco_color_with_stalls,Livo_nocull_stalls,Livo_nocull_geo_no_stalls,Livo_nocull_geo_with_stalls,Livo_nocull_color_no_stalls,Livo_nocull_color_with_stalls,Livo_stalls,Livo_geo_no_stalls,Livo_geo_with_stalls,Livo_color_no_stalls,Livo_color_with_stalls,Starline_stalls,Starline_geo_no_stalls,Starline_geo_with_stalls,Starline_color_no_stalls,Starline_color_with_stalls
band2,1,tracep1,88.59315589353612,97.17499999999998,11.084600760456272,98.48349999999999,11.233859315589353,0.5703422053231939,91.0489292543021,90.52963878326996,80.4221223709369,79.96344106463879,0.19011406844106463,91.0307619047619,90.85769961977186,80.47398095238096,80.3209885931559,0.0,85.92838403041826,85.92838403041826,80.31534220532319,80.31534220532319
dance5,0,tracep1,37.757201646090536,97.09657851239669,60.43562757201645,99.38282644628099,61.85865226337449,0.411522633744856,91.90565082644628,91.52743827160494,93.6692561983471,93.28378600823045,0.0,90.95506172839505,90.95506172839505,93.56551440329217,93.56551440329217,0.0,86.69856995884774,86.69856995884774,93.25900205761317,93.25900205761317
office1,2,tracep1,82.77153558052434,91.20076086956519,15.712490636704116,96.68369565217391,16.657116104868912,1.6853932584269662,90.97312380952381,89.43986891385768,84.72775238095238,83.29975655430711,0.0,91.12827715355806,91.12827715355806,84.95458801498127,84.95458801498127,0.0,85.64623595505617,85.64623595505617,84.38367041198501,84.38367041198501
pizza1,1,tracep1,73.27586206896552,89.03967741935485,23.795086206896553,95.31709677419354,25.472672413793102,7.758620689655173,89.3359813084112,82.40474137931034,78.72392523364485,72.61603448275861,0.0,89.98379310344826,89.98379310344826,78.92206896551724,78.92206896551724,0.0,85.6431896551724,85.6431896551724,78.38301724137929,78.38301724137929
toddler4,0,tracep1,85.63380281690141,75.18862745098038,10.801746478873238,94.48705882352941,13.574197183098592,2.816901408450704,91.85576811594203,89.26828169014084,89.06915942028985,86.56016901408451,0.0,91.35560563380282,91.35560563380282,88.82081690140845,88.82081690140845,0.0,86.73921126760563,86.73921126760563,88.34856338028169,88.34856338028169
band2,1,wifi-25,88.59315589353612,95.65166666666666,10.910836501901139,97.41916666666667,11.112452471482891,14.068441064638783,83.05174778761062,71.36766159695817,78.12311946902655,67.13241444866921,2.661596958174905,86.63847656249999,84.33250950570341,78.85218749999999,76.75346007604561,74.7148288973384,80.86676691729325,20.447300380228143,79.77466165413534,20.17115969581749
dance5,0,wifi-25,37.757201646090536,95.37355371900826,59.36316872427983,98.9983305785124,61.619331275720164,7.716049382716049,86.99595317725752,80.28330246913579,91.48517279821627,84.4261316872428,1.5432098765432098,90.26009404388715,88.8671913580247,93.30809822361547,91.868158436214,63.78600823045267,75.65505681818182,27.39771604938272,89.49926136363636,32.41125514403292
office1,2,wifi-25,82.77153558052434,85.93326086956522,14.80498127340824,94.64010869565219,16.305037453183523,13.108614232209737,82.99907327586206,72.11904494382021,81.87053879310345,71.13844569288389,1.6853932584269662,87.11257142857144,85.64438202247192,83.22577142857142,81.82308988764045,79.5880149812734,77.63403669724771,15.846647940074908,84.1997247706422,17.18683520599251
pizza1,1,wifi-25,73.27586206896552,86.21645161290324,23.040603448275867,93.90419354838708,25.09508620689655,29.310344827586206,83.04646341463415,58.70525862068965,75.27378048780487,53.21077586206896,6.0344827586206895,86.88522935779815,81.64215517241378,77.52211009174312,72.84405172413793,61.206896551724135,73.63666666666666,28.565948275862066,76.35777777777778,29.621551724137934
toddler4,0,wifi-25,85.63380281690141,72.02843137254902,10.347746478873239,93.92647058823528,13.493661971830983,9.859154929577464,86.2679375,77.76264788732395,86.8150625,78.2558309859155,1.408450704225352,88.91882857142856,87.66645070422534,88.10917142857143,86.86819718309859,60.84507042253521,84.20561151079139,32.97064788732395,87.96661870503597,34.44326760563381
