Time(ms),x,y,z,qx,qy,qz,qw
77575,-0.0611438,-1.5370080,0.0330842,0.2109991,0.5290707,-0.1330292,0.8110899
77615,-0.0516169,-1.5363660,0.0275389,0.2092613,0.5372730,-0.1350211,0.8058019
77645,-0.0516169,-1.5363660,0.0275389,0.2092613,0.5372730,-0.1350211,0.8058019
77672,-0.0372386,-1.5354030,0.0191213,0.2075075,0.5485668,-0.1379833,0.7981074
77712,-0.0319578,-1.5352395,0.0160486,0.2078362,0.5517977,-0.1392374,0.7955624
77742,-0.0259013,-1.5352424,0.0124826,0.2081641,0.5552542,-0.1407628,0.7927821
77779,-0.0165652,-1.5354747,0.0070050,0.2082994,0.5605654,-0.1430435,0.7885469
77808,-0.0057796,-1.5358888,0.0005971,0.2074951,0.5669122,-0.1452710,0.7837707
77838,0.0084739,-1.5366005,-0.0080006,0.2050878,0.5756710,-0.1480390,0.7774332
77876,0.0233855,-1.5374324,-0.0170151,0.2017683,0.5849353,-0.1507559,0.7708608
77907,0.0401255,-1.5383508,-0.0272158,0.1976067,0.5951473,-0.1531748,0.7637459
77946,0.0578660,-1.5393492,-0.0382181,0.1933451,0.6052886,-0.1551928,0.7565733
77975,0.0763602,-1.5403550,-0.0498147,0.1892674,0.6150098,-0.1569808,0.7496471
78005,0.0922231,-1.5410725,-0.0601848,0.1862174,0.6219710,-0.1581745,0.7445381
78046,0.1064856,-1.5417318,-0.0697701,0.1838845,0.6275026,-0.1594855,0.7403241
78112,0.1231126,-1.5423502,-0.0810809,0.1804032,0.6337689,-0.1608246,0.7357967
78129,0.1479195,-1.5431856,-0.0983262,0.1748591,0.6425643,-0.1631056,0.7294882
78157,0.1494064,-1.5429227,-0.1006183,0.1737657,0.6399700,-0.1622771,0.7316208
78199,0.1621650,-1.5430182,-0.1100448,0.1696243,0.6424121,-0.1610246,0.7306235
78213,0.1777891,-1.5430437,-0.1213134,0.1659673,0.6459093,-0.1602611,0.7286193
78255,0.1816521,-1.5424920,-0.1243394,0.1662632,0.6448596,-0.1593720,0.7294037
78295,0.1932542,-1.5422697,-0.1326457,0.1652885,0.6465958,-0.1597394,0.7280551
78323,0.2020344,-1.5416456,-0.1390862,0.1665913,0.6461588,-0.1611442,0.7277497
78366,0.2056752,-1.5411129,-0.1420590,0.1695544,0.6435758,-0.1628652,0.7287851
78379,0.2133433,-1.5408374,-0.1480480,0.1708104,0.6424614,-0.1637330,0.7292091
78421,0.2114926,-1.5409886,-0.1473428,0.1718231,0.6403323,-0.1630991,0.7308509
78461,0.2179692,-1.5410604,-0.1527427,0.1715245,0.6403372,-0.1627330,0.7309710
78490,0.2215656,-1.5412787,-0.1567337,0.1706236,0.6410354,-0.1619193,0.7307135
78530,0.2213894,-1.5415512,-0.1585469,0.1694629,0.6426004,-0.1613875,0.7296854
78558,0.2230331,-1.5419832,-0.1619311,0.1676336,0.6453066,-0.1611923,0.7277437
78587,0.2217700,-1.5426193,-0.1632974,0.1650140,0.6486858,-0.1609044,0.7253777
78630,0.2209712,-1.5432516,-0.1648725,0.1621338,0.6522655,-0.1607023,0.7228572
78657,0.2213019,-1.5439897,-0.1678027,0.1590760,0.6568252,-0.1606369,0.7194552
78700,0.2189242,-1.5446689,-0.1682443,0.1568582,0.6608950,-0.1603444,0.7162841
78713,0.2176809,-1.5455587,-0.1701447,0.1542967,0.6658421,-0.1599021,0.7124230
78754,0.2140973,-1.5461025,-0.1688334,0.1534456,0.6681965,-0.1593853,0.7104754
78796,0.2123307,-1.5469691,-0.1701434,0.1511699,0.6725317,-0.1586690,0.7071237
78824,0.2088156,-1.5478636,-0.1704573,0.1488242,0.6767455,-0.1574958,0.7039348
78866,0.2038409,-1.5483655,-0.1691661,0.1476332,0.6792634,-0.1567689,0.7019017
78893,0.1983017,-1.5489457,-0.1683554,0.1458822,0.6830227,-0.1564602,0.6987450
78911,0.1918259,-1.5489672,-0.1663190,0.1452249,0.6853284,-0.1570090,0.6964570
78962,0.1862671,-1.5488135,-0.1644203,0.1449408,0.6869452,-0.1578100,0.6946824
78991,0.1782906,-1.5491394,-0.1629065,0.1431807,0.6917128,-0.1585572,0.6902666
79033,0.1687206,-1.5490023,-0.1596289,0.1421654,0.6954473,-0.1600590,0.6863285
79060,0.1574157,-1.5490624,-0.1560009,0.1403653,0.7006971,-0.1610195,0.6811902
79087,0.1468858,-1.5491182,-0.1517117,0.1388866,0.7049670,-0.1615938,0.6769023
79129,0.1366627,-1.5492889,-0.1474600,0.1371209,0.7093489,-0.1619643,0.6725892
79157,0.1227353,-1.5496672,-0.1418200,0.1347740,0.7156060,-0.1624904,0.6664383
79200,0.1103213,-1.5499613,-0.1357847,0.1333317,0.7203636,-0.1627130,0.6615224
79213,0.0939733,-1.5503799,-0.1281209,0.1312792,0.7269073,-0.1629375,0.6548706
79271,0.0853329,-1.5505005,-0.1228051,0.1306909,0.7294695,-0.1627554,0.6519734
79298,0.0638352,-1.5509582,-0.1125115,0.1276279,0.7381380,-0.1630508,0.6431518
79339,0.0501331,-1.5506264,-0.1043815,0.1258487,0.7427416,-0.1631879,0.6380102
79368,0.0320354,-1.5501795,-0.0943406,0.1230593,0.7492893,-0.1636334,0.6309161
79409,0.0175624,-1.5489681,-0.0857690,0.1208045,0.7540128,-0.1640745,0.6255258
79437,-0.0009330,-1.5473435,-0.0751773,0.1180300,0.7602021,-0.1651679,0.6184341
79477,-0.0148842,-1.5449805,-0.0667974,0.1163995,0.7642612,-0.1669235,0.6131504
79506,-0.0334372,-1.5423077,-0.0561499,0.1147104,0.7699041,-0.1692823,0.6059057
79535,-0.0479287,-1.5394565,-0.0477566,0.1142215,0.7738364,-0.1714923,0.6002492
79576,-0.0617819,-1.5367973,-0.0400032,0.1140546,0.7774513,-0.1729028,0.5951468
79591,-0.0803784,-1.5337996,-0.0298980,0.1136740,0.7824745,-0.1750840,0.5881620
79634,-0.0876074,-1.5323327,-0.0263334,0.1145691,0.7837777,-0.1773005,0.5851978
79673,-0.1066000,-1.5299749,-0.0164563,0.1148995,0.7889534,-0.1810154,0.5773056
79703,-0.1231119,-1.5287552,-0.0084654,0.1159821,0.7933926,-0.1843669,0.5699909
79742,-0.1357944,-1.5288768,-0.0031487,0.1167916,0.7969657,-0.1860139,0.5641378
79771,-0.1515561,-1.5290849,0.0035142,0.1170715,0.8015754,-0.1874356,0.5571389
79813,-0.1631878,-1.5304573,0.0073106,0.1170015,0.8051775,-0.1875848,0.5517312
79826,-0.1798416,-1.5318447,0.0132521,0.1166674,0.8103511,-0.1879525,0.5442267
79868,-0.1838935,-1.5343599,0.0127672,0.1163659,0.8118480,-0.1865589,0.5420574
79911,-0.2002379,-1.5363125,0.0181102,0.1154290,0.8171171,-0.1854860,0.5349513
79925,-0.2161313,-1.5393784,0.0222726,0.1136059,0.8223886,-0.1822312,0.5284815
79969,-0.2196101,-1.5421541,0.0211435,0.1112295,0.8239274,-0.1776424,0.5276402
80007,-0.2353055,-1.5451446,0.0249874,0.1084137,0.8289993,-0.1734656,0.5219054
80035,-0.2473353,-1.5481992,0.0267453,0.1045785,0.8327668,-0.1678253,0.5185096
80078,-0.2558868,-1.5507299,0.0270781,0.1008173,0.8351634,-0.1621527,0.5169990
80093,-0.2695751,-1.5536882,0.0289514,0.0970357,0.8386639,-0.1564014,0.5139542
80146,-0.2723297,-1.5549477,0.0277117,0.0950043,0.8384424,-0.1529741,0.5153299
80161,-0.2883634,-1.5580635,0.0299966,0.0903243,0.8418981,-0.1455250,0.5130224
80204,-0.2911622,-1.5587931,0.0287089,0.0886798,0.8401952,-0.1409954,0.5169171
80232,-0.3036010,-1.5610859,0.0296032,0.0852798,0.8411973,-0.1341681,0.5178196
80272,-0.3111618,-1.5625149,0.0288618,0.0832432,0.8406711,-0.1284053,0.5203307
80302,-0.3229324,-1.5646297,0.0284459,0.0804047,0.8410026,-0.1213584,0.5220135
80342,-0.3324887,-1.5661675,0.0268442,0.0783041,0.8404965,-0.1153914,0.5244164
80371,-0.3449973,-1.5678598,0.0251281,0.0754361,0.8406478,-0.1089971,0.5260518
80426,-0.3550815,-1.5683101,0.0223718,0.0742012,0.8403115,-0.1053436,0.5274100
80439,-0.3735271,-1.5694176,0.0192423,0.0723130,0.8405244,-0.0995880,0.5286472
80467,-0.3797621,-1.5679393,0.0149243,0.0752762,0.8395745,-0.1019347,0.5288869
80510,-0.3902328,-1.5675890,0.0115789,0.0761311,0.8397619,-0.1009142,0.5285843
80524,-0.4058627,-1.5675497,0.0071928,0.0763546,0.8399438,-0.0981599,0.5288056
80567,-0.4119471,-1.5666106,0.0036389,0.0783271,0.8395890,-0.0988894,0.5287564
80606,-0.4278641,-1.5663121,-0.0012580,0.0793958,0.8395936,-0.0967703,0.5289949
80634,-0.4430238,-1.5655608,-0.0065533,0.0795186,0.8393481,-0.0946455,0.5297120
80677,-0.4553481,-1.5649365,-0.0110854,0.0775882,0.8390505,-0.0917943,0.5308960
80691,-0.4727160,-1.5649736,-0.0167377,0.0730589,0.8389603,-0.0840868,0.5329602
80745,-0.4789743,-1.5660801,-0.0189956,0.0676205,0.8386319,-0.0769125,0.5351510
80762,-0.5001391,-1.5677633,-0.0250145,0.0608698,0.8381940,-0.0655881,0.5384422
80801,-0.5079741,-1.5709457,-0.0262825,0.0537818,0.8372964,-0.0569700,0.5414636
80832,-0.5233420,-1.5739654,-0.0295831,0.0464845,0.8367069,-0.0483274,0.5442477
80870,-0.5359778,-1.5775959,-0.0311834,0.0388344,0.8360977,-0.0417577,0.5465102
80901,-0.5503190,-1.5811188,-0.0328148,0.0315243,0.8350871,-0.0349581,0.5493180
80943,-0.5623839,-1.5843276,-0.0327470,0.0271404,0.8333089,-0.0314265,0.5525161
80966,-0.5776416,-1.5877723,-0.0329372,0.0228168,0.8310757,-0.0273714,0.5565073
81010,-0.5847553,-1.5896335,-0.0310583,0.0211658,0.8291022,-0.0265098,0.5592857
81037,-0.6005453,-1.5925163,-0.0301900,0.0170804,0.8265380,-0.0234324,0.5635439
81067,-0.6082839,-1.5936636,-0.0277706,0.0160300,0.8247604,-0.0255640,0.5658097
81107,-0.6168724,-1.5947469,-0.0257002,0.0140416,0.8235123,-0.0265472,0.5675032
81137,-0.6281621,-1.5957028,-0.0235464,0.0129177,0.8224919,-0.0292785,0.5687951
81176,-0.6352222,-1.5951662,-0.0208535,0.0144238,0.8226547,-0.0358729,0.5678525
81191,-0.6443870,-1.5946915,-0.0180345,0.0150887,0.8231773,-0.0416130,0.5665284
81248,-0.6456349,-1.5931793,-0.0154687,0.0170684,0.8248759,-0.0470166,0.5633554
81260,-0.6594175,-1.5930476,-0.0116251,0.0158497,0.8259492,-0.0516599,0.5614241
81303,-0.6584673,-1.5911810,-0.0082128,0.0168853,0.8286352,-0.0556512,0.5568940
81344,-0.6669679,-1.5903062,-0.0035709,0.0169619,0.8308052,-0.0602177,0.5531911
81359,-0.6734524,-1.5891898,0.0022493,0.0173383,0.8336293,-0.0639750,0.5485092
81401,-0.6735935,-1.5881232,0.0066110,0.0180253,0.8357979,-0.0652676,0.5449764
81442,-0.6803996,-1.5871272,0.0129241,0.0186314,0.8383687,-0.0692222,0.5405893
81470,-0.6862343,-1.5858880,0.0204404,0.0201715,0.8413091,-0.0737403,0.5354226
81526,-0.6894510,-1.5848695,0.0274918,0.0220859,0.8437874,-0.0772625,0.5309394
81541,-0.6979468,-1.5839083,0.0385942,0.0236354,0.8471993,-0.0822318,0.5248887
81569,-0.6987841,-1.5845110,0.0452092,0.0239967,0.8481634,-0.0814660,0.5232686
81609,-0.7023861,-1.5846364,0.0524284,0.0238871,0.8496705,-0.0812724,0.5208594
81625,-0.7079388,-1.5847350,0.0619982,0.0239510,0.8517153,-0.0817151,0.5175123
81679,-0.7096626,-1.5851814,0.0676215,0.0239049,0.8523166,-0.0807135,0.5165686
81694,-0.7171627,-1.5854020,0.0803213,0.0246182,0.8548700,-0.0834255,0.5120268
81734,-0.7182692,-1.5856794,0.0857710,0.0255219,0.8551861,-0.0849055,0.5110550
81777,-0.7233952,-1.5855097,0.0958713,0.0275015,0.8567123,-0.0884186,0.5078523
81805,-0.7285652,-1.5850619,0.1066414,0.0298210,0.8587996,-0.0915344,0.5036854
81836,-0.7310819,-1.5844240,0.1132346,0.0308606,0.8606097,-0.0921401,0.5003486
81875,-0.7340906,-1.5836320,0.1202447,0.0322501,0.8624336,-0.0937504,0.4968067
81902,-0.7377582,-1.5825720,0.1284548,0.0344391,0.8643784,-0.0962772,0.4928417
81943,-0.7397338,-1.5815957,0.1338118,0.0369450,0.8654271,-0.0980581,0.4904177
81958,-0.7431866,-1.5808157,0.1419441,0.0395276,0.8672588,-0.0993689,0.4867790
82014,-0.7434145,-1.5807682,0.1436629,0.0407178,0.8678197,-0.0979013,0.4858321
82028,-0.7481609,-1.5802979,0.1540137,0.0443054,0.8701181,-0.0992853,0.4812957
82069,-0.7481057,-1.5809247,0.1538662,0.0461572,0.8699121,-0.0982275,0.4815159
82100,-0.7508810,-1.5812485,0.1593420,0.0486280,0.8708078,-0.0984466,0.4796541
82139,-0.7524319,-1.5819068,0.1612729,0.0502494,0.8707789,-0.0974736,0.4796756
82180,-0.7545097,-1.5825365,0.1634991,0.0519529,0.8708438,-0.0967905,0.4794901
82194,-0.7566654,-1.5831084,0.1640954,0.0534848,0.8707319,-0.0960114,0.4796400
82236,-0.7568852,-1.5834444,0.1601543,0.0536358,0.8699667,-0.0954783,0.4810025
82278,-0.7592780,-1.5837929,0.1600327,0.0552600,0.8698031,-0.0955990,0.4810874
82293,-0.7615699,-1.5842044,0.1571504,0.0557591,0.8690743,-0.0959486,0.4822417
82334,-0.7621440,-1.5846577,0.1513293,0.0542028,0.8678157,-0.0960165,0.4845899
82376,-0.7643168,-1.5854273,0.1472916,0.0532135,0.8667755,-0.0951796,0.4866921
82404,-0.7663822,-1.5867317,0.1402167,0.0502030,0.8651323,-0.0924832,0.4903874
82443,-0.7674974,-1.5880967,0.1310536,0.0457937,0.8633631,-0.0885659,0.4945989
82458,-0.7692105,-1.5895036,0.1209357,0.0414791,0.8614874,-0.0844543,0.4989752
82500,-0.7697105,-1.5902127,0.1113564,0.0377684,0.8599814,-0.0809814,0.5024354
82544,-0.7717608,-1.5912089,0.0995868,0.0340441,0.8579283,-0.0771061,0.5069315
82569,-0.7740597,-1.5917268,0.0838346,0.0302890,0.8552982,-0.0732476,0.5123076
82640,-0.7757091,-1.5913574,0.0698087,0.0279777,0.8530563,-0.0709608,0.5165008
82653,-0.7802312,-1.5917011,0.0430314,0.0237194,0.8483499,-0.0651359,0.5255666
82666,-0.7826141,-1.5912424,0.0271843,0.0260172,0.8451535,-0.0623351,0.5306610
82709,-0.7843029,-1.5917203,0.0167732,0.0278774,0.8428464,-0.0608667,0.5343196
82738,-0.7877827,-1.5925801,-0.0033744,0.0272304,0.8385286,-0.0565335,0.5418749
82768,-0.7905712,-1.5937240,-0.0198499,0.0264492,0.8348930,-0.0533319,0.5478967
