Time(ms),x,y,z,qx,qy,qz,qw
77575,-0.0611438,-1.5370080,0.0330842,0.2109991,0.5290707,-0.1330292,0.8110899
77615,-0.0516169,-1.5363660,0.0275389,0.2092613,0.5372730,-0.1350211,0.8058019
77645,-0.0372442,-1.5354030,0.0191246,0.2075082,0.5485625,-0.1379821,0.7981106
77672,-0.0272529,-1.5350940,0.0133111,0.2081308,0.5546744,-0.1403551,0.7932959
77712,-0.0168333,-1.5352499,0.0071427,0.2086576,0.5604213,-0.1430488,0.7886235
77742,-0.0009471,-1.5358760,-0.0021580,0.2085105,0.5694429,-0.1468573,0.7814673
77779,0.0101113,-1.5365460,-0.0088607,0.2060869,0.5763013,-0.1484639,0.7767648
77808,0.0267087,-1.5375850,-0.0190446,0.2015096,0.5869973,-0.1514749,0.7693396
77838,0.0380406,-1.5383590,-0.0259244,0.1976719,0.5941976,-0.1532455,0.7644415
77876,0.0492276,-1.5389510,-0.0328754,0.1941457,0.6007211,-0.1538234,0.7601184
77907,0.0659122,-1.5398860,-0.0434220,0.1907382,0.6094059,-0.1552756,0.7537459
77946,0.0767882,-1.5404299,-0.0504444,0.1888640,0.6138064,-0.1558079,0.7505305
77975,0.0924050,-1.5409549,-0.0609842,0.1864771,0.6196826,-0.1570742,0.7460212
78005,0.1024890,-1.5414500,-0.0680961,0.1854060,0.6226958,-0.1584268,0.7434887
78046,0.1122372,-1.5415720,-0.0750823,0.1823392,0.6256158,-0.1588244,0.7417089
78112,0.1261046,-1.5418850,-0.0853468,0.1787719,0.6293538,-0.1603034,0.7390922
78129,0.1393915,-1.5422020,-0.0951797,0.1751547,0.6326295,-0.1603643,0.7371459
78157,0.1567712,-1.5423290,-0.1073756,0.1691733,0.6369690,-0.1576418,0.7353910
78199,0.1642391,-1.5419810,-0.1127115,0.1691191,0.6381085,-0.1573459,0.7344784
78213,0.1753358,-1.5414650,-0.1204328,0.1692665,0.6396087,-0.1577402,0.7330536
78255,0.1746843,-1.5413070,-0.1200399,0.1713611,0.6381977,-0.1592077,0.7334794
78295,0.1836030,-1.5405750,-0.1265460,0.1735293,0.6375331,-0.1618036,0.7329793
78323,0.1912377,-1.5404620,-0.1323616,0.1756279,0.6361763,-0.1638720,0.7331988
78366,0.1956423,-1.5406600,-0.1360773,0.1747590,0.6362125,-0.1628346,0.7336060
78379,0.2015005,-1.5412329,-0.1409205,0.1735878,0.6365595,-0.1617526,0.7338225
78421,0.2027932,-1.5412780,-0.1425207,0.1723884,0.6375312,-0.1607331,0.7334856
78461,0.2064964,-1.5415740,-0.1469426,0.1706685,0.6397524,-0.1600922,0.7320926
78490,0.2089543,-1.5418220,-0.1510292,0.1690669,0.6428576,-0.1604507,0.7296616
78530,0.2101388,-1.5423191,-0.1535191,0.1671248,0.6459137,-0.1607333,0.7273443
78558,0.2114011,-1.5431280,-0.1568911,0.1634738,0.6503430,-0.1604932,0.7242737
78587,0.2118120,-1.5436510,-0.1588500,0.1606877,0.6536555,-0.1604491,0.7219211
78630,0.2117566,-1.5441180,-0.1605842,0.1593001,0.6568800,-0.1606291,0.7192569
78657,0.2112205,-1.5448800,-0.1627047,0.1570114,0.6616904,-0.1600761,0.7154641
78700,0.2102235,-1.5455040,-0.1636603,0.1560054,0.6644603,-0.1596164,0.7132162
78713,0.2082881,-1.5463880,-0.1647638,0.1539011,0.6686842,-0.1588629,0.7098862
78754,0.2071796,-1.5466959,-0.1648304,0.1531700,0.6698221,-0.1582970,0.7090976
78796,0.2035539,-1.5474390,-0.1649811,0.1509294,0.6733138,-0.1569392,0.7065684
78824,0.1986493,-1.5479259,-0.1645740,0.1494538,0.6765776,-0.1566634,0.7038202
78866,0.1944761,-1.5480959,-0.1637738,0.1485291,0.6790090,-0.1572784,0.7015336
78893,0.1872638,-1.5480740,-0.1623371,0.1473301,0.6826565,-0.1582772,0.6980131
78911,0.1817748,-1.5480130,-0.1611508,0.1465238,0.6852717,-0.1591951,0.6954067
78962,0.1783795,-1.5481150,-0.1600777,0.1460661,0.6872212,-0.1598962,0.6934154
78991,0.1647692,-1.5481920,-0.1561815,0.1436244,0.6939038,-0.1616173,0.6868402
79033,0.1569831,-1.5483420,-0.1534834,0.1420532,0.6978654,-0.1614280,0.6831880
79060,0.1444121,-1.5487430,-0.1486816,0.1396445,0.7038341,-0.1616652,0.6774817
79087,0.1353254,-1.5490700,-0.1449064,0.1375752,0.7081667,-0.1617525,0.6733567
79129,0.1254788,-1.5494690,-0.1404708,0.1362298,0.7124172,-0.1620681,0.6690570
79157,0.1101318,-1.5498509,-0.1332718,0.1345499,0.7184918,-0.1622772,0.6628214
79200,0.0993346,-1.5501370,-0.1278429,0.1333720,0.7225891,-0.1621902,0.6586131
79213,0.0829087,-1.5504140,-0.1194043,0.1313611,0.7287838,-0.1622478,0.6521458
79271,0.0769816,-1.5504640,-0.1162032,0.1300862,0.7311621,-0.1623304,0.6497141
79298,0.0537802,-1.5498760,-0.1037457,0.1267309,0.7398231,-0.1629077,0.6403610
79339,0.0418550,-1.5492589,-0.0970457,0.1244435,0.7441490,-0.1634724,0.6356358
79368,0.0236666,-1.5475250,-0.0869503,0.1216431,0.7503179,-0.1640620,0.6287365
79409,0.0112612,-1.5458590,-0.0797698,0.1199045,0.7542753,-0.1655777,0.6239196
79437,-0.0073013,-1.5429450,-0.0693451,0.1180663,0.7600023,-0.1681363,0.6165932
79477,-0.0200014,-1.5409240,-0.0622414,0.1177903,0.7636822,-0.1703445,0.6114718
79506,-0.0387192,-1.5379350,-0.0519783,0.1170966,0.7692205,-0.1724014,0.6040415
79535,-0.0513287,-1.5358990,-0.0453674,0.1171010,0.7725149,-0.1725765,0.5997711
79576,-0.0637661,-1.5341541,-0.0389555,0.1171968,0.7756858,-0.1746023,0.5950550
79591,-0.0819515,-1.5321310,-0.0298656,0.1169869,0.7807152,-0.1787946,0.5872225
79634,-0.0879450,-1.5320210,-0.0270063,0.1184167,0.7823093,-0.1813091,0.5840348
79673,-0.1053837,-1.5316300,-0.0188712,0.1190859,0.7874464,-0.1836858,0.5761998
79703,-0.1222842,-1.5319800,-0.0117124,0.1186164,0.7927474,-0.1841750,0.5688245
79742,-0.1333851,-1.5326149,-0.0073138,0.1181761,0.7961693,-0.1843227,0.5640692
79771,-0.1498516,-1.5339570,-0.0015065,0.1173624,0.8014356,-0.1844893,0.5566783
79813,-0.1606705,-1.5353080,0.0019533,0.1168855,0.8049167,-0.1842154,0.5518257
79826,-0.1767105,-1.5378040,0.0066287,0.1161961,0.8100497,-0.1836842,0.5445898
79868,-0.1815386,-1.5388420,0.0078843,0.1149815,0.8118894,-0.1810791,0.5429781
79911,-0.1967488,-1.5418659,0.0117637,0.1126325,0.8168986,-0.1769724,0.5372815
79925,-0.2114666,-1.5448101,0.0150856,0.1089473,0.8219422,-0.1721631,0.5318848
79969,-0.2161996,-1.5457070,0.0160107,0.1075942,0.8231127,-0.1702060,0.5309793
80007,-0.2300148,-1.5483969,0.0185095,0.1032263,0.8272340,-0.1645453,0.5272127
80035,-0.2433637,-1.5508230,0.0206817,0.0993822,0.8308726,-0.1590792,0.5238968
80078,-0.2517509,-1.5523130,0.0218177,0.0980069,0.8322772,-0.1566079,0.5226694
80093,-0.2639090,-1.5546670,0.0232205,0.0946265,0.8346381,-0.1516136,0.5209975
80146,-0.2675686,-1.5552371,0.0235257,0.0925913,0.8345498,-0.1475280,0.5226749
80161,-0.2835878,-1.5578040,0.0249327,0.0891009,0.8353077,-0.1391396,0.5243683
80204,-0.2877940,-1.5585250,0.0249256,0.0882200,0.8350851,-0.1370509,0.5254210
80232,-0.3007154,-1.5608120,0.0248413,0.0854171,0.8360555,-0.1293369,0.5262958
80272,-0.3096335,-1.5623310,0.0243365,0.0835613,0.8365983,-0.1249318,0.5267948
80302,-0.3235028,-1.5644170,0.0229870,0.0806588,0.8369322,-0.1178067,0.5283563
80342,-0.3326601,-1.5651830,0.0214557,0.0784571,0.8375353,-0.1145418,0.5284499
80371,-0.3472047,-1.5656559,0.0187366,0.0772773,0.8379336,-0.1105172,0.5288492
80426,-0.3571838,-1.5653820,0.0165365,0.0779476,0.8377542,-0.1099959,0.5291437
80439,-0.3777940,-1.5652680,0.0107441,0.0800566,0.8379681,-0.1081205,0.5288766
80467,-0.3826196,-1.5650589,0.0093789,0.0800934,0.8389357,-0.1072788,0.5275066
80510,-0.3929159,-1.5649830,0.0061037,0.0799258,0.8387073,-0.1051709,0.5283191
80524,-0.4088557,-1.5647351,0.0008714,0.0817001,0.8387162,-0.1030147,0.5284582
80567,-0.4142611,-1.5643890,-0.0008655,0.0823634,0.8385429,-0.1029466,0.5286437
80606,-0.4308823,-1.5638469,-0.0060105,0.0803786,0.8383856,-0.0990757,0.5299367
80634,-0.4478022,-1.5639040,-0.0109112,0.0759553,0.8383727,-0.0933023,0.5316547
80677,-0.4584962,-1.5647750,-0.0141887,0.0696800,0.8385070,-0.0832281,0.5339698
80691,-0.4749305,-1.5673150,-0.0185336,0.0621584,0.8381526,-0.0714694,0.5371487
80745,-0.4804222,-1.5688130,-0.0195742,0.0595969,0.8375560,-0.0673712,0.5388963
80762,-0.5029565,-1.5740020,-0.0238402,0.0484848,0.8363351,-0.0526418,0.5435271
80801,-0.5084434,-1.5752760,-0.0245554,0.0462089,0.8364336,-0.0529228,0.5435465
80832,-0.5245399,-1.5793720,-0.0262957,0.0376709,0.8358520,-0.0463545,0.5456956
80870,-0.5348181,-1.5812720,-0.0270767,0.0340035,0.8346579,-0.0423317,0.5480857
80901,-0.5502952,-1.5843050,-0.0271255,0.0315322,0.8321285,-0.0395344,0.5522726
80943,-0.5601389,-1.5861300,-0.0268199,0.0304415,0.8302864,-0.0381431,0.5551962
80966,-0.5739899,-1.5885561,-0.0260207,0.0258553,0.8280965,-0.0333448,0.5589954
81010,-0.5830930,-1.5895510,-0.0249398,0.0244229,0.8265440,-0.0337434,0.5613287
81037,-0.5956599,-1.5911810,-0.0232229,0.0217301,0.8248409,-0.0353917,0.5638375
81067,-0.6032571,-1.5918781,-0.0219828,0.0189977,0.8246124,-0.0347886,0.5643079
81107,-0.6108715,-1.5917000,-0.0204762,0.0206259,0.8247135,-0.0399448,0.5637611
81137,-0.6215453,-1.5912170,-0.0180934,0.0218589,0.8251652,-0.0469843,0.5625097
81176,-0.6277961,-1.5906140,-0.0161741,0.0217338,0.8262894,-0.0497823,0.5606204
81191,-0.6367638,-1.5901660,-0.0131263,0.0214411,0.8277614,-0.0535124,0.5581108
81248,-0.6391605,-1.5898650,-0.0114835,0.0198806,0.8288887,-0.0533200,0.5565118
81260,-0.6501995,-1.5886110,-0.0054602,0.0190467,0.8318156,-0.0590741,0.5515708
81303,-0.6523730,-1.5884320,-0.0032985,0.0200967,0.8327876,-0.0602019,0.5499425
81344,-0.6593680,-1.5877770,0.0027324,0.0198631,0.8352834,-0.0622708,0.5459207
81359,-0.6661403,-1.5869390,0.0091419,0.0194739,0.8375489,-0.0644657,0.5421963
81401,-0.6683573,-1.5865500,0.0118667,0.0207935,0.8384607,-0.0673282,0.5403871
81442,-0.6749203,-1.5854340,0.0195165,0.0225794,0.8411934,-0.0720634,0.5354351
81470,-0.6815469,-1.5845710,0.0281134,0.0241815,0.8438783,-0.0762496,0.5305381
81526,-0.6857026,-1.5847790,0.0343544,0.0242943,0.8450382,-0.0773877,0.5285180
81541,-0.6942198,-1.5856290,0.0474569,0.0240083,0.8475736,-0.0780172,0.5243624
81569,-0.6961435,-1.5855950,0.0508452,0.0229322,0.8482279,-0.0760300,0.5236439
81609,-0.7000646,-1.5857821,0.0576600,0.0230762,0.8495085,-0.0762308,0.5215282
81625,-0.7060065,-1.5860560,0.0678924,0.0235083,0.8511658,-0.0772923,0.5186424
81679,-0.7075722,-1.5863169,0.0714959,0.0244774,0.8518231,-0.0808066,0.5169802
81694,-0.7146417,-1.5861050,0.0852313,0.0262380,0.8539301,-0.0849873,0.5127300
81734,-0.7165968,-1.5854740,0.0885909,0.0287359,0.8542793,-0.0879628,0.5115111
81777,-0.7213542,-1.5848120,0.0979887,0.0304984,0.8568708,-0.0895800,0.5067718
81805,-0.7257593,-1.5839890,0.1069250,0.0304718,0.8597942,-0.0892824,0.5018507
81836,-0.7286966,-1.5831470,0.1129067,0.0320332,0.8612399,-0.0918495,0.4988019
81875,-0.7312911,-1.5821331,0.1186142,0.0344294,0.8623735,-0.0944903,0.4961836
81902,-0.7349318,-1.5811840,0.1268114,0.0378077,0.8637130,-0.0967757,0.4931581
81943,-0.7369450,-1.5812360,0.1316311,0.0388325,0.8650491,-0.0957856,0.4909249
81958,-0.7399916,-1.5812290,0.1384527,0.0406778,0.8668944,-0.0943126,0.4877958
82014,-0.7410976,-1.5815229,0.1404388,0.0427222,0.8670429,-0.0957298,0.4870803
82028,-0.7450951,-1.5820121,0.1476257,0.0467057,0.8683234,-0.0959067,0.4843914
82069,-0.7458378,-1.5824831,0.1486700,0.0464906,0.8680953,-0.0959044,0.4848210
82100,-0.7483612,-1.5830580,0.1515539,0.0483081,0.8682250,-0.0946460,0.4846585
82139,-0.7500139,-1.5834200,0.1525652,0.0492112,0.8682399,-0.0945523,0.4845593
82180,-0.7524411,-1.5836190,0.1528133,0.0505782,0.8683768,-0.0942395,0.4842339
82194,-0.7549070,-1.5837470,0.1518108,0.0522537,0.8683933,-0.0946445,0.4839473
82236,-0.7556820,-1.5838170,0.1508209,0.0526969,0.8679767,-0.0953793,0.4845020
82278,-0.7581704,-1.5841990,0.1474467,0.0522806,0.8671666,-0.0959874,0.4858758
82293,-0.7606919,-1.5849960,0.1428049,0.0510615,0.8660815,-0.0959470,0.4879444
82334,-0.7611970,-1.5856810,0.1403664,0.0492154,0.8653548,-0.0937203,0.4898525
82376,-0.7632614,-1.5872600,0.1328828,0.0453229,0.8637075,-0.0896865,0.4938741
82404,-0.7652685,-1.5887491,0.1232332,0.0409690,0.8620724,-0.0851434,0.4978989
82443,-0.7664535,-1.5895640,0.1155693,0.0381804,0.8608051,-0.0822919,0.5007843
82458,-0.7684958,-1.5903840,0.1029086,0.0342765,0.8588548,-0.0780706,0.5050729
82500,-0.7692941,-1.5902990,0.0977900,0.0338277,0.8579219,-0.0773547,0.5067957
82544,-0.7717429,-1.5902210,0.0822510,0.0312974,0.8553774,-0.0747114,0.5116327
82569,-0.7747504,-1.5899100,0.0653637,0.0286400,0.8525791,-0.0719334,0.5168309
82640,-0.7769819,-1.5898030,0.0519369,0.0284907,0.8499417,-0.0692091,0.5215337
82653,-0.7833561,-1.5904959,0.0198049,0.0296262,0.8434913,-0.0616048,0.5327755
82666,-0.7846428,-1.5920560,0.0127656,0.0319353,0.8415480,-0.0613487,0.5357363
82709,-0.7856326,-1.5925480,0.0056746,0.0301789,0.8394438,-0.0590139,0.5393892
82738,-0.7894588,-1.5942650,-0.0155931,0.0276718,0.8351408,-0.0549435,0.5465851
82768,-0.7918919,-1.5948690,-0.0298567,0.0256480,0.8330250,-0.0523617,0.5501544
