frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
2,-1.90308,1.10927,-1.17898,13.8835,10.5251,6.91465,0.125623,0.0836238,0.0485456,0.987355,0.17733,-0.239949,0.954452,-0.0748534,0.963725,0.256187
3,-1.89483,1.11025,-1.17576,13.6729,11.227,6.59238,0.123853,0.0901495,0.0451906,0.987163,0.189179,-0.236379,0.953067,-0.0668904,0.965236,0.252675
4,-1.86804,1.11404,-1.16384,13.0834,12.9263,5.7187,0.11864,0.106045,0.0364365,0.986586,0.217892,-0.226369,0.949358,-0.046733,0.969194,0.241825
5,-1.85223,1.11816,-1.15685,12.8962,13.1618,5.2687,0.116679,0.108633,0.0325132,0.986675,0.221959,-0.223185,0.94917,-0.0388093,0.970658,0.237313
6,-1.8393,1.12175,-1.15176,13.047,12.6809,5.05186,0.117642,0.104638,0.0309837,0.987042,0.213854,-0.225751,0.950423,-0.0365448,0.970401,0.238719
7,-1.80996,1.12861,-1.14087,12.5192,12.2825,3.72969,0.111811,0.102758,0.0205041,0.98819,0.207674,-0.216767,0.953878,-0.0175449,0.974156,0.225194
8,-1.77486,1.13474,-1.12917,11.8843,12.3886,2.36309,0.105111,0.105176,0.009222,0.98884,0.209942,-0.205936,0.95578,0.0038721,0.977733,0.209816
9,-1.74366,1.13831,-1.11941,10.9493,13.7771,1.87042,0.0966528,0.117829,0.0046888,0.988308,0.23381,-0.18994,0.953549,0.013509,0.981273,0.19215
10,-1.69996,1.14273,-1.10614,10.2765,16.0003,1.47652,0.0904666,0.137462,0.0002445,0.986367,0.271221,-0.178399,0.94584,0.0243891,0.983631,0.178534
11,-1.67709,1.14568,-1.09925,9.84075,18.3294,1.6413,0.0869405,0.157457,0.000428,0.983691,0.309852,-0.17091,0.935297,0.0265367,0.984882,0.17118
12,-1.66795,1.14688,-1.09602,9.34883,20.1386,2.38732,0.0838509,0.172548,0.0061975,0.981406,0.339719,-0.162445,0.926392,0.0167721,0.985861,0.166722
13,-1.63964,1.14902,-1.08687,8.9696,23.3384,3.00061,0.0818316,0.199568,0.0097523,0.976412,0.391317,-0.15591,0.906953,0.0136174,0.986417,0.163695
14,-1.62394,1.1493,-1.08162,8.88648,25.4432,3.18762,0.081647,0.217365,0.0099956,0.972618,0.424459,-0.154477,0.892172,0.0160506,0.986468,0.163168
15,-1.61162,1.14879,-1.07699,8.71387,27.4284,2.80074,0.0795588,0.23452,0.0056679,0.968834,0.455323,-0.1515,0.877342,0.0263337,0.987277,0.156817
16,-1.59534,1.14785,-1.07102,8.8296,30.1399,2.78075,0.0805974,0.257347,0.0033524,0.962946,0.496163,-0.153496,0.854553,0.0350267,0.986986,0.156947
17,-1.58824,1.14796,-1.06697,9.61064,30.9257,3.33837,0.0884427,0.263212,0.0056508,0.960659,0.506713,-0.166952,0.845795,0.0357013,0.984292,0.172901
18,-1.56327,1.14814,-1.05624,8.53991,36.7445,4.15103,0.0819977,0.311549,0.010823,0.946624,0.591615,-0.148498,0.792427,0.0306021,0.986319,0.161986
19,-1.56276,1.14769,-1.05805,7.91306,38.6237,3.98486,0.0765483,0.327458,0.0099279,0.941707,0.61826,-0.13767,0.773823,0.0314343,0.988084,0.150674
20,-1.55906,1.1478,-1.0591,6.87295,41.5714,3.45821,0.0667037,0.352383,0.0068972,0.93345,0.658785,-0.119668,0.742753,0.0341341,0.991006,0.12939
21,-1.55797,1.14731,-1.0609,6.59818,45.0286,3.37275,0.064389,0.380549,0.0051141,0.922502,0.702774,-0.114906,0.702073,0.0395709,0.991656,0.12269
22,-1.55781,1.14709,-1.06246,6.8979,47.8461,3.38481,0.0669215,0.402974,0.0025632,0.912758,0.735979,-0.1201,0.666267,0.0492561,0.99103,0.124232
23,-1.55926,1.14703,-1.06363,7.49816,50.363,3.42329,0.0718285,0.42262,-0.000836,0.903456,0.763516,-0.130494,0.632467,0.0622229,0.98968,0.129081
24,-1.56193,1.1482,-1.06432,8.23195,52.0299,4.02259,0.0798173,0.434941,-2.5e-06,0.896915,0.780209,-0.143181,0.608912,0.0694361,0.987258,0.143176
25,-1.5688,1.15047,-1.06585,8.8927,55.9454,4.5454,0.0869591,0.464556,-0.0014174,0.881263,0.818545,-0.154584,0.553252,0.0832929,0.984872,0.151951
26,-1.57255,1.15107,-1.06646,8.88633,57.3219,4.68769,0.0874772,0.475004,-0.001348,0.875624,0.831614,-0.154475,0.533437,0.0854647,0.984692,0.151913
27,-1.5758,1.15194,-1.06682,8.90107,57.7613,5.02739,0.089001,0.478087,0.0008447,0.873791,0.835647,-0.154729,0.527023,0.0836242,0.984156,0.156344
28,-1.58205,1.15425,-1.06652,8.39626,58.4725,5.33245,0.0864698,0.483603,0.0047672,0.870993,0.843253,-0.146018,0.517303,0.0753297,0.985,0.15524
29,-1.584,1.15553,-1.06598,8.12352,57.8837,5.50753,0.0851051,0.479171,0.0077006,0.873552,0.838472,-0.141308,0.526305,0.068106,0.985396,0.156067
30,-1.59013,1.15927,-1.0644,7.56878,57.6685,5.45948,0.0806717,0.477926,0.0098342,0.874632,0.837606,-0.131716,0.530157,0.0599078,0.986791,0.150516
31,-1.59308,1.16258,-1.06195,7.06792,56.9923,5.469,0.0768288,0.473066,0.0124733,0.877582,0.832225,-0.123046,0.540612,0.0507975,0.987884,0.146649
32,-1.59711,1.16607,-1.05835,6.26384,56.1179,5.75004,0.0717107,0.466668,0.0185292,0.881326,0.825231,-0.109107,0.554157,0.0342696,0.989029,0.143695
33,-1.59907,1.16689,-1.05579,5.97635,55.5174,6.01481,0.0704693,0.462054,0.0221181,0.883771,0.819818,-0.104118,0.563079,0.0260266,0.98909,0.144997
34,-1.60052,1.16504,-1.05365,5.75629,55.0187,6.45545,0.0704381,0.458071,0.0267198,0.885718,0.815207,-0.100297,0.570419,0.0171989,0.988649,0.149256
35,-1.60329,1.16065,-1.04869,5.76568,53.8836,7.39239,0.0739137,0.44868,0.0346566,0.889956,0.803734,-0.10046,0.586446,0.0046415,0.986671,0.162659
36,-1.60553,1.15741,-1.04536,5.83847,52.5406,8.05202,0.0765902,0.437735,0.0403906,0.894925,0.789667,-0.101724,0.605044,-0.0052407,0.985005,0.172446
37,-1.60985,1.15468,-1.04051,6.50216,49.1143,8.74467,0.0830652,0.409791,0.0457294,0.907238,0.751153,-0.113241,0.650342,-0.014896,0.982018,0.188199
38,-1.62476,1.14832,-1.02876,7.64266,40.6876,9.47952,0.0909373,0.34053,0.0542135,0.934254,0.646143,-0.132994,0.75154,-0.0393646,0.977583,0.20684
39,-1.62969,1.1487,-1.02826,8.44507,38.5695,9.13377,0.0955034,0.322787,0.0507109,0.940274,0.616703,-0.146861,0.773375,-0.0337097,0.976615,0.212336
40,-1.64197,1.14908,-1.02538,8.94735,33.561,8.96146,0.0969374,0.281112,0.0521187,0.953343,0.546097,-0.155527,0.823158,-0.0448736,0.975774,0.214132
