frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
1,-0.091014,1.58482,0.0773193,15.74,19.2263,356.572,0.129995,0.169386,-0.052068,0.97555,0.316953,-0.271272,0.908819,0.145628,0.960781,0.235994
2,-0.0913714,1.58463,0.0779077,15.8244,18.8544,356.584,0.130901,0.166211,-0.0516604,0.975997,0.310917,-0.272691,0.910478,0.144355,0.960392,0.238345
3,-0.0915311,1.58454,0.0788909,15.7068,18.5697,356.602,0.13005,0.163758,-0.0510239,0.976559,0.306567,-0.270714,0.912541,0.142249,0.960967,0.237292
4,-0.0929484,1.58465,0.0825101,15.585,18.1729,356.454,0.128979,0.160534,-0.0516704,0.977202,0.300419,-0.268667,0.915186,0.142396,0.961389,0.235488
5,-0.0940856,1.58431,0.0834348,15.835,18.3694,356.694,0.131363,0.161953,-0.0501835,0.976727,0.303183,-0.272867,0.91303,0.140581,0.96045,0.240358
6,-0.0955125,1.58496,0.0849831,15.8761,18.4767,356.648,0.131602,0.162923,-0.050755,0.976504,0.304831,-0.273558,0.912274,0.142007,0.96021,0.240482
7,-0.0968783,1.58589,0.0867508,15.4122,18.552,356.386,0.127235,0.163828,-0.0524419,0.976843,0.306724,-0.265761,0.913943,0.144145,0.962122,0.231395
8,-0.0977986,1.58604,0.0874308,15.348,18.5051,356.281,0.12656,0.163539,-0.0531972,0.976938,0.306069,-0.264681,0.914475,0.145335,0.962305,0.229882
9,-0.0986906,1.58598,0.0879945,15.3905,18.6283,356.269,0.126847,0.164606,-0.0534935,0.976705,0.307973,-0.265396,0.913629,0.146254,0.962096,0.230174
10,-0.0993565,1.58606,0.0885653,15.402,18.8819,356.251,0.126801,0.166788,-0.0539441,0.976316,0.311996,-0.26559,0.912206,0.147631,0.962023,0.229601
11,-0.0999884,1.58591,0.0891127,15.3983,19.6353,356.378,0.126604,0.173063,-0.0536909,0.975263,0.32397,-0.265527,0.908041,0.148546,0.962178,0.22836
12,-0.100159,1.58592,0.0895689,15.2827,20.4049,356.605,0.125612,0.179354,-0.052435,0.974323,0.336323,-0.263581,0.904108,0.147235,0.962945,0.225964
13,-0.100072,1.58555,0.0898712,15.4871,21.6274,356.935,0.127328,0.189378,-0.051295,0.972261,0.355186,-0.267021,0.895847,0.147971,0.962313,0.228165
14,-0.0998707,1.58495,0.090147,15.8795,23.2336,357.241,0.130462,0.202635,-0.0511641,0.969176,0.379427,-0.273616,0.883838,0.152046,0.960724,0.232145
15,-0.0993703,1.58453,0.0900868,16.1464,24.2947,357.28,0.13231,0.211541,-0.0525176,0.966947,0.395201,-0.278092,0.875489,0.157541,0.959472,0.233654
16,-0.0976711,1.5844,0.08954,16.387,25.5935,357.466,0.134095,0.222252,-0.0529014,0.964274,0.414435,-0.282124,0.865245,0.161629,0.95844,0.235094
17,-0.0947966,1.58472,0.0888113,16.4601,28.0099,357.504,0.133645,0.242481,-0.0555461,0.9593,0.450377,-0.283348,0.846684,0.171383,0.958107,0.229473
18,-0.092973,1.58453,0.0879974,16.538,29.5301,357.463,0.133454,0.255223,-0.0578274,0.95588,0.472491,-0.28465,0.834102,0.178673,0.957692,0.225615
19,-0.0921986,1.58431,0.0872061,16.8299,30.3931,357.561,0.135672,0.262256,-0.0586717,0.95361,0.48426,-0.289531,0.82563,0.183061,0.956301,0.227983
20,-0.0889568,1.58445,0.0857511,17.142,33.1182,357.628,0.13699,0.284718,-0.0620874,0.946739,0.522097,-0.294742,0.800339,0.195568,0.954758,0.224032
21,-0.0869863,1.58458,0.0851181,17.0103,34.9156,357.714,0.135137,0.29946,-0.063185,0.942374,0.54733,-0.292543,0.784123,0.200025,0.955491,0.216857
22,-0.0862506,1.58493,0.0849788,16.7759,35.5772,357.702,0.132811,0.304962,-0.0634475,0.940921,0.557038,-0.288628,0.778718,0.200403,0.956671,0.211232
23,-0.085675,1.5847,0.0849486,16.6805,36.2262,357.742,0.131776,0.310263,-0.0636137,0.939322,0.566107,-0.287035,0.772744,0.201278,0.957177,0.208087
