frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
34,-0.530747,1.71183,0.568755,6.04956,172.535,2.11261,-0.0218046,-0.996256,0.0514486,-0.065964,0.129191,-0.105389,-0.986004,0.0502334,0.993755,-0.0996354
35,-0.532188,1.71561,0.569636,4.58246,174.304,3.3744,-0.0313687,-0.997475,0.0384504,-0.0508037,0.0989385,-0.0798938,-0.991881,0.0664858,0.995075,-0.0735192
36,-0.53281,1.71746,0.56993,3.60144,175.318,4.20671,-0.0379361,-0.997952,0.0298777,-0.0419479,0.0814571,-0.0628156,-0.994695,0.0782234,0.995336,-0.0564503
37,-0.533481,1.71935,0.570238,2.27908,176.641,5.43527,-0.0479664,-0.998221,0.0184671,-0.0302139,0.0585486,-0.039767,-0.997492,0.0968781,0.994716,-0.03397
38,-0.533521,1.71919,0.570064,2.25365,176.634,5.62267,-0.0495936,-0.998144,0.0181934,-0.0302891,0.0586612,-0.0393235,-0.997503,0.100105,0.994419,-0.0333149
39,-0.533623,1.7192,0.569511,1.63829,176.944,6.2107,-0.0545279,-0.998054,0.0128258,-0.0273986,0.0532918,-0.0285896,-0.99817,0.109546,0.993724,-0.0226137
40,-0.533756,1.71855,0.568133,1.13076,176.761,6.68909,-0.0585925,-0.997833,0.0081981,-0.0287887,0.0564919,-0.0197342,-0.998208,0.117403,0.992999,-0.012987
41,-0.533852,1.71745,0.56758,1.40436,176.26,6.85363,-0.0601365,-0.997581,0.0102761,-0.033305,0.065213,-0.0245083,-0.99757,0.120667,0.992556,-0.0164969
42,-0.534019,1.71517,0.566984,1.92335,175.376,7.04477,-0.0620556,-0.997116,0.01426,-0.0412921,0.0805761,-0.0335625,-0.996183,0.124931,0.991892,-0.0233129
43,-0.534195,1.71361,0.566885,2.55611,174.585,6.94094,-0.0615031,-0.99674,0.0193801,-0.0484853,0.0942706,-0.0445978,-0.994547,0.124485,0.991683,-0.0326698
44,-0.534665,1.7119,0.567071,3.0741,173.866,6.74018,-0.0601126,-0.996398,0.0235945,-0.0549669,0.106701,-0.0536274,-0.992844,0.122386,0.99166,-0.0404106
45,-0.53537,1.71005,0.567745,3.73491,172.898,6.38296,-0.0575517,-0.995891,0.0290283,-0.0636141,0.123364,-0.0651403,-0.990222,0.118324,0.99169,-0.0504959
46,-0.536291,1.70926,0.568756,4.11497,172.069,6.05073,-0.0550973,-0.995442,0.0321186,-0.0709079,0.13763,-0.0717581,-0.987881,0.114247,0.991865,-0.0561307
47,-0.536921,1.70934,0.569802,4.2712,171.682,5.77119,-0.0528738,-0.995274,0.0334707,-0.0742573,0.144273,-0.0744775,-0.986731,0.110219,0.992168,-0.0587725
48,-0.537678,1.70952,0.571014,4.3901,171.312,5.65088,-0.052013,-0.995042,0.0344142,-0.0774761,0.150604,-0.0765467,-0.985626,0.108843,0.992221,-0.0604276
49,-0.538531,1.71011,0.573056,4.56179,170.642,5.56215,-0.0515626,-0.994547,0.0356645,-0.0833378,0.162089,-0.0795342,-0.983566,0.108507,0.992139,-0.0623458
50,-0.538093,1.71053,0.573724,4.49949,170.209,5.47702,-0.0509129,-0.994287,0.0349935,-0.0870425,0.169527,-0.0784503,-0.982398,0.107336,0.992367,-0.0607239
51,-0.537002,1.71118,0.575565,4.38564,168.641,4.96802,-0.0468792,-0.993264,0.0337531,-0.100446,0.196374,-0.0764692,-0.977543,0.0999077,0.993326,-0.0576338
52,-0.534807,1.71149,0.577321,4.38341,166.653,4.3577,-0.0421748,-0.991611,0.0335415,-0.117488,0.230175,-0.0764304,-0.970143,0.0915235,0.994192,-0.0566103
53,-0.533267,1.71129,0.577798,4.58489,165.079,4.05998,-0.0402851,-0.989935,0.0350408,-0.131064,0.256666,-0.079936,-0.963189,0.0889444,0.994299,-0.0588163
54,-0.527169,1.71029,0.579892,4.83283,160.576,2.98906,-0.0327949,-0.984272,0.0371476,-0.16957,0.331369,-0.0842487,-0.939732,0.0771564,0.995089,-0.0620046
55,-0.525067,1.70953,0.580619,5.26173,158.744,2.55281,-0.030334,-0.981377,0.0409985,-0.185197,0.361008,-0.0917056,-0.928043,0.0747237,0.994798,-0.0692345
56,-0.5189,1.70746,0.582798,6.19902,154.064,1.33441,-0.0234638,-0.972864,0.0500784,-0.224672,0.434801,-0.107982,-0.894029,0.0681566,0.993883,-0.0868957
57,-0.514749,1.70536,0.584766,7.51625,150.638,0.632124,-0.0219357,-0.965166,0.0620088,-0.253235,0.486107,-0.130807,-0.864054,0.0737488,0.991347,-0.108588
58,-0.508464,1.70179,0.588053,9.53059,145.626,359.54,-0.0207272,-0.952133,0.0805456,-0.294153,0.556806,-0.165574,-0.813973,0.0868554,0.986166,-0.141186
59,-0.504496,1.69899,0.59061,11.1787,142.342,358.839,-0.0218893,-0.942256,0.095435,-0.32026,0.599356,-0.193869,-0.776652,0.102379,0.980826,-0.165828
60,-0.499215,1.69486,0.594531,13.6134,137.682,357.838,-0.0253054,-0.926653,0.117271,-0.356261,0.654325,-0.23537,-0.718651,0.130457,0.971214,-0.199308
61,-0.496368,1.69278,0.59675,14.8678,135.339,357.348,-0.0279212,-0.918123,0.128365,-0.373888,0.679383,-0.256589,-0.68746,0.147259,0.965486,-0.214831
62,-0.492686,1.68997,0.599515,16.4676,131.783,356.598,-0.0316591,-0.904704,0.142662,-0.400196,0.715084,-0.283473,-0.638982,0.171469,0.957291,-0.232794
63,-0.492075,1.68889,0.599832,16.6884,131.514,356.797,-0.0343513,-0.903471,0.143624,-0.402408,0.717261,-0.287167,-0.63488,0.177662,0.956384,-0.231874
64,-0.490372,1.6855,0.600905,18.1985,129.888,356.91,-0.0428331,-0.895975,0.154486,-0.414159,0.728918,-0.31231,-0.609213,0.204718,0.948599,-0.241351
65,-0.489335,1.6778,0.60082,21.323,128.264,357.271,-0.0596385,-0.885942,0.176631,-0.424679,0.731413,-0.363625,-0.576899,0.255696,0.930489,-0.262316
66,-0.490438,1.67419,0.600414,23.2365,128.627,357.332,-0.0667188,-0.884507,0.191323,-0.420229,0.717861,-0.394527,-0.573606,0.278825,0.917888,-0.282379
67,-0.491859,1.67,0.599211,25.4873,128.749,357.529,-0.0764145,-0.881284,0.207943,-0.417444,0.703993,-0.430311,-0.565001,0.308295,0.901841,-0.302716
68,-0.491879,1.67073,0.598847,24.6391,129.161,357.473,-0.0721035,-0.884198,0.201909,-0.415003,0.704773,-0.416901,-0.574011,0.295093,0.908068,-0.297209
69,-0.493587,1.6681,0.597023,25.4543,129.677,357.432,-0.0738616,-0.884753,0.208647,-0.410151,0.694942,-0.429791,-0.576485,0.301852,0.902022,-0.308613
70,-0.49582,1.66651,0.595506,26.0839,130.283,357.395,-0.0747462,-0.885873,0.214013,-0.404771,0.685159,-0.439686,-0.580718,0.305684,0.897223,-0.318666
71,-0.497163,1.66637,0.594652,26.1058,130.714,357.373,-0.0738507,-0.887364,0.214538,-0.401379,0.68065,-0.440031,-0.585737,0.303287,0.897039,-0.321462
72,-0.498559,1.66649,0.593947,25.8137,131.051,357.415,-0.0725016,-0.889011,0.212354,-0.399135,0.678879,-0.435447,-0.591194,0.298426,0.899298,-0.319695
73,-0.500618,1.66708,0.593145,25.4489,131.5,357.514,-0.0711498,-0.891124,0.209471,-0.396179,0.676281,-0.429706,-0.598328,0.292783,0.902119,-0.316954
74,-0.501865,1.66781,0.592808,25.1635,131.738,357.501,-0.0696084,-0.892429,0.207452,-0.394573,0.675377,-0.425203,-0.602552,0.287951,0.904237,-0.31534
75,-0.503515,1.66899,0.592235,24.515,131.997,357.436,-0.0663637,-0.894418,0.202792,-0.393049,0.676184,-0.414931,-0.608776,0.278128,0.908942,-0.310594
76,-0.504749,1.66948,0.591978,24.1125,132.145,357.417,-0.0645487,-0.89558,0.199811,-0.392231,0.676754,-0.408529,-0.61246,0.272361,0.911818,-0.307257
77,-0.505956,1.67008,0.591809,23.9117,132.252,357.333,-0.0629989,-0.89631,0.198597,-0.391431,0.676665,-0.405328,-0.614682,0.268407,0.913181,-0.306689
78,-0.507633,1.67103,0.591259,23.3752,132.46,357.194,-0.0596839,-0.897925,0.195,-0.390056,0.677205,-0.39675,-0.619663,0.259305,0.916826,-0.30363
79,-0.508838,1.67139,0.590808,23.1056,132.706,357.155,-0.0580235,-0.899194,0.193154,-0.388298,0.675895,-0.392426,-0.623833,0.254351,0.91865,-0.302305
80,-0.510625,1.67209,0.590065,22.7089,133.056,357.066,-0.0553686,-0.901015,0.190525,-0.385755,0.674044,-0.386049,-0.629787,0.246768,0.921269,-0.300614
81,-0.511084,1.67239,0.589698,22.5383,133.311,357.056,-0.0542804,-0.90213,0.189344,-0.38388,0.672063,-0.383301,-0.63357,0.243307,0.922405,-0.299952
82,-0.513229,1.67354,0.588512,21.972,133.979,356.978,-0.0506394,-0.905214,0.185465,-0.37898,0.667333,-0.374153,-0.643953,0.232254,0.926077,-0.297388
83,-0.513698,1.67377,0.588227,21.8284,134.186,356.99,-0.0499208,-0.906098,0.184384,-0.377487,0.665672,-0.371829,-0.647012,0.229671,0.927021,-0.296451
84,-0.515115,1.67468,0.587363,21.4793,134.7,357.01,-0.0480796,-0.908274,0.181789,-0.373739,0.661433,-0.366166,-0.654545,0.223222,0.929282,-0.294289
85,-0.516186,1.67591,0.586462,20.9739,135.185,357.011,-0.0456479,-0.910554,0.177988,-0.370309,0.658123,-0.357943,-0.662383,0.214951,0.932473,-0.290328
86,-0.516751,1.67667,0.585822,20.5522,135.454,357.071,-0.0443188,-0.911975,0.17456,-0.3686,0.656836,-0.351061,-0.667326,0.209521,0.935129,-0.285717
87,-0.517437,1.67777,0.584925,20.0113,135.852,357.121,-0.0423442,-0.913957,0.170257,-0.365927,0.654463,-0.342205,-0.67422,0.202005,0.938439,-0.280226
88,-0.517492,1.67827,0.58456,19.8492,135.912,357.09,-0.0414809,-0.914374,0.169089,-0.365524,0.654424,-0.339546,-0.675602,0.199471,0.939376,-0.278897
89,-0.517816,1.67947,0.583537,19.3356,136.179,357.141,-0.0398338,-0.91587,0.164933,-0.363859,0.653354,-0.331102,-0.680808,0.192989,0.942421,-0.273126
90,-0.517876,1.68089,0.582522,18.7954,136.348,357.184,-0.038188,-0.917072,0.160548,-0.362966,0.65347,-0.32219,-0.684961,0.186589,0.945532,-0.266746
91,-0.51777,1.68173,0.581708,18.2447,136.426,357.264,-0.0369373,-0.917968,0.155926,-0.362846,0.654644,-0.313076,-0.688059,0.180969,0.948645,-0.259466
92,-0.517724,1.68263,0.581021,17.8259,136.433,357.364,-0.036378,-0.91846,0.152266,-0.363211,0.656112,-0.306125,-0.689786,0.177433,0.950984,-0.253274
93,-0.517485,1.68396,0.57993,17.1949,136.454,357.545,-0.0357648,-0.919203,0.146653,-0.363703,0.658143,-0.295623,-0.692427,0.172426,0.954428,-0.243592
94,-0.51729,1.68457,0.579091,16.9708,136.434,357.752,-0.0367311,-0.91933,0.144194,-0.364268,0.659173,-0.291884,-0.693033,0.172587,0.955718,-0.238364
95,-0.517018,1.68504,0.57791,16.7367,136.347,357.947,-0.037649,-0.919251,0.141671,-0.365362,0.661051,-0.287973,-0.692881,0.17274,0.957024,-0.232951
96,-0.516945,1.68544,0.577066,16.7379,136.233,357.981,-0.0380656,-0.918875,0.141535,-0.366317,0.662424,-0.287995,-0.691559,0.173649,0.957038,-0.232218
97,-0.516977,1.686,0.575703,16.6155,136.105,358.081,-0.0386286,-0.918569,0.140192,-0.367538,0.664388,-0.285948,-0.690523,0.174018,0.957708,-0.229158
98,-0.516904,1.68605,0.575203,16.5691,136.098,358.004,-0.0378644,-0.918624,0.140068,-0.367528,0.664634,-0.285171,-0.690608,0.172524,0.957895,-0.229506
99,-0.51713,1.68659,0.573533,16.423,136.054,357.974,-0.0372092,-0.918654,0.138978,-0.367934,0.665665,-0.282726,-0.69062,0.170634,0.958601,-0.227964
100,-0.517454,1.68736,0.571319,16.1716,136.073,357.997,-0.0365535,-0.91898,0.136898,-0.367964,0.666296,-0.278514,-0.691722,0.167931,0.959845,-0.224713
101,-0.517565,1.68772,0.570243,16.0213,136.041,358.053,-0.0365525,-0.919022,0.135505,-0.368377,0.667186,-0.275995,-0.691874,0.167019,0.960604,-0.222135
102,-0.517676,1.68805,0.569281,15.8623,136.042,358.007,-0.0356637,-0.919209,0.134381,-0.368409,0.667705,-0.273326,-0.692433,0.164579,0.96134,-0.220771
103,-0.517987,1.68837,0.568442,15.7259,136.065,357.976,-0.0349446,-0.919437,0.133395,-0.368266,0.667872,-0.271035,-0.693172,0.162509,0.961969,-0.219559
104,-0.518362,1.6891,0.567526,15.5255,136.126,357.855,-0.0332458,-0.919877,0.1322,-0.367755,0.667789,-0.267668,-0.694559,0.158399,0.962836,-0.218763
105,-0.518561,1.68957,0.567113,15.2367,136.265,357.886,-0.0324005,-0.92061,0.129825,-0.366843,0.667025,-0.262807,-0.697144,0.154907,0.964192,-0.215264
106,-0.51885,1.69059,0.566767,14.8066,136.517,358.011,-0.0317357,-0.92181,0.126044,-0.365203,0.665294,-0.255557,-0.70148,0.150572,0.966212,-0.209197
107,-0.519063,1.69155,0.566586,14.3912,136.768,358.378,-0.0330841,-0.922913,0.121609,-0.363796,0.663458,-0.248542,-0.705727,0.149549,0.968233,-0.200398
108,-0.519184,1.69311,0.566369,13.7556,137.108,358.917,-0.0350456,-0.924438,0.114887,-0.361922,0.661096,-0.23778,-0.711627,0.147955,0.971145,-0.187045
109,-0.519129,1.69365,0.566325,13.3803,137.193,359.374,-0.0374584,-0.924912,0.110445,-0.361852,0.661087,-0.231413,-0.713731,0.149221,0.972798,-0.177196
110,-0.518935,1.69547,0.566388,12.5393,137.46,0.067992,-0.040166,-0.926284,0.101554,-0.360653,0.659977,-0.217109,-0.719232,0.147662,0.976147,-0.159165
111,-0.518733,1.69732,0.566649,11.6759,137.641,0.746341,-0.0427892,-0.92736,0.0925018,-0.360024,0.659826,-0.202375,-0.723653,0.145967,0.979225,-0.140755
112,-0.518654,1.69803,0.566633,11.3025,137.593,0.915671,-0.0430281,-0.927457,0.0889274,-0.360645,0.661313,-0.195988,-0.724054,0.143956,0.980481,-0.133917
113,-0.518312,1.7,0.566734,10.3271,137.582,1.30362,-0.0431193,-0.928053,0.0797984,-0.361235,0.663609,-0.179267,-0.726282,0.137686,0.983546,-0.116962
114,-0.51809,1.70169,0.566773,9.5391,137.563,1.49976,-0.0422487,-0.928507,0.0727846,-0.361653,0.665444,-0.165721,-0.727819,0.131102,0.985835,-0.104603
115,-0.518002,1.70253,0.566713,9.15044,137.548,1.5698,-0.0416056,-0.928707,0.0694057,-0.361877,0.666381,-0.159027,-0.728455,0.127512,0.986904,-0.0988029
