frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
19,-0.385838,1.53598,0.806356,2.80223,114.461,0.10958,0.0140385,0.840591,-0.0200429,0.541117,0.909154,-0.0488887,-0.413581,0.0452924,0.998802,-0.0185027
20,-0.381521,1.53623,0.812857,2.68234,114.212,0.172878,0.0139778,0.839424,-0.0188341,0.54297,0.911039,-0.0467986,-0.409656,0.0439193,0.9989,-0.0164404
21,-0.375213,1.53616,0.822558,2.59081,113.798,0.195191,0.0137726,0.837475,-0.0180082,0.546005,0.914036,-0.0452027,-0.403108,0.0427336,0.998972,-0.015123
22,-0.371341,1.53601,0.829009,2.77211,113.466,0.118734,0.0141347,0.835864,-0.0196566,0.548402,0.916223,-0.0483635,-0.397738,0.0451888,0.998828,-0.0173576
23,-0.365717,1.53536,0.838478,2.87729,112.979,0.034315,0.0141105,0.833519,-0.0207681,0.55192,0.919485,-0.050197,-0.389907,0.0464475,0.998739,-0.0190455
24,-0.36228,1.53497,0.844612,2.96332,112.73,359.979,0.0141711,0.832307,-0.0216285,0.553711,0.921103,-0.0516966,-0.385873,0.0475414,0.998663,-0.0203097
25,-0.357208,1.53433,0.853576,3.07225,112.405,359.885,0.0140776,0.830726,-0.0228353,0.556034,0.923182,-0.0535951,-0.380609,0.0487838,0.998561,-0.0222845
26,-0.355927,1.53425,0.856396,3.20976,112.444,359.892,0.0147915,0.830885,-0.0238006,0.555738,0.922805,-0.0559916,-0.381177,0.0510339,0.998429,-0.0231107
27,-0.351001,1.53306,0.867544,3.57832,112.302,359.881,0.0165287,0.830122,-0.0265079,0.556706,0.923391,-0.0624128,-0.378752,0.0569559,0.998048,-0.0256063
28,-0.348766,1.53252,0.872736,3.88736,112.358,359.88,0.0180105,0.830323,-0.0287591,0.556249,0.922696,-0.0677953,-0.379521,0.0619034,0.997697,-0.027722
29,-0.347006,1.53153,0.877594,4.42079,112.552,359.851,0.0203344,0.831129,-0.0327989,0.554739,0.920785,-0.0770809,-0.382379,0.0701907,0.997021,-0.0319597
30,-0.344869,1.53022,0.884233,4.91819,113.11,359.873,0.0227252,0.833674,-0.0364104,0.550587,0.916365,-0.0857332,-0.391057,0.077985,0.996316,-0.0356844
31,-0.341925,1.52736,0.895706,5.99554,114.573,359.896,0.0274997,0.840258,-0.0444924,0.539657,0.904456,-0.104451,-0.413581,0.0942349,0.994528,-0.0450894
32,-0.3422,1.52597,0.897386,6.50931,114.954,359.774,0.0288616,0.841874,-0.0489301,0.536676,0.900803,-0.113365,-0.41917,0.101115,0.993546,-0.0514074
33,-0.342408,1.5225,0.902516,8.03014,115.825,359.644,0.0345658,0.845272,-0.0609707,0.52972,0.8913,-0.139694,-0.431358,0.12303,0.990175,-0.0664532
34,-0.343559,1.51817,0.905796,10.472,116.488,359.551,0.0447083,0.846933,-0.0796514,0.523796,0.880117,-0.181755,-0.438587,0.159172,0.983314,-0.0880827
35,-0.344965,1.51356,0.908942,12.8076,117.147,359.462,0.0541754,0.848249,-0.0976044,0.517699,0.8677,-0.221679,-0.444922,0.192968,0.975077,-0.109492
36,-0.345805,1.5113,0.910001,14.8267,117.798,359.448,0.0625614,0.849412,-0.112944,0.511693,0.855144,-0.255897,-0.450828,0.221866,0.966659,-0.127848
37,-0.34809,1.50488,0.91321,18.1715,119.53,359.571,0.0763227,0.85342,-0.138292,0.496714,0.826702,-0.311863,-0.468301,0.267653,0.9501,-0.160221
38,-0.350636,1.4995,0.915748,21.1757,121.501,359.558,0.0864688,0.857986,-0.162168,0.479671,0.795057,-0.361229,-0.487235,0.303952,0.93245,-0.195322
39,-0.351706,1.49804,0.916461,21.6331,122.953,359.381,0.0849531,0.863483,-0.167416,0.468136,0.78001,-0.368661,-0.505641,0.303458,0.92951,-0.209583
