frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
1,0.0405345,1.68003,2.33018,18.4986,182.829,352.381,0.0695159,-0.984254,0.158708,0.0349882,-0.0468091,-0.317282,-0.947175,-0.147948,0.939959,-0.307553
2,0.0404159,1.68003,2.32966,18.6282,182.785,352.478,0.0686346,-0.984142,0.159877,0.0345391,-0.0460365,-0.319425,-0.946493,-0.146136,0.939457,-0.309943
3,0.0400009,1.68005,2.32882,18.6426,182.822,352.627,0.0674078,-0.984199,0.160024,0.0346577,-0.0466464,-0.319664,-0.946382,-0.143777,0.939697,-0.310319
4,0.0391793,1.67981,2.32791,18.669,183.119,352.804,0.0663045,-0.984172,0.160133,0.0369741,-0.0515425,-0.320101,-0.94598,-0.142352,0.939922,-0.310295
5,0.0382085,1.67951,2.32744,18.7058,183.43,352.868,0.066202,-0.984052,0.160291,0.0395764,-0.0566673,-0.320709,-0.945481,-0.14298,0.939848,-0.310229
6,0.0372872,1.67929,2.32729,18.7346,183.798,352.871,0.0666903,-0.98388,0.160326,0.0427488,-0.0627351,-0.321185,-0.944936,-0.144938,0.939696,-0.309781
7,0.0362327,1.67935,2.32729,18.702,184.159,352.959,0.0664315,-0.983839,0.15987,0.0457084,-0.0686986,-0.320646,-0.944704,-0.145331,0.940057,-0.3085
8,0.0352119,1.6795,2.32737,18.5954,184.586,353.027,0.0664162,-0.983854,0.158735,0.0492246,-0.0757745,-0.318884,-0.94476,-0.146315,0.940784,-0.305806
9,0.0337388,1.67988,2.32762,18.3649,185.043,353.036,0.066906,-0.983983,0.156493,0.0530292,-0.083419,-0.315068,-0.945396,-0.148266,0.942067,-0.300876
10,0.0317152,1.68103,2.32814,18.0623,185.62,353.045,0.0675137,-0.984133,0.153557,0.0578408,-0.0931116,-0.31005,-0.94615,-0.150649,0.943725,-0.29443
11,0.0310673,1.68123,2.32831,17.8452,185.76,353.038,0.0676853,-0.984357,0.151604,0.0589537,-0.0955402,-0.306446,-0.947081,-0.151128,0.94487,-0.290485
12,0.029934,1.68171,2.32873,17.6183,186.121,353.037,0.0680831,-0.984477,0.149439,0.0619493,-0.101627,-0.302674,-0.947661,-0.152568,0.946065,-0.285803
13,0.0282256,1.6824,2.3293,17.2176,186.648,352.991,0.0689954,-0.984694,0.145652,0.0663558,-0.110582,-0.296001,-0.948765,-0.155208,0.94805,-0.277689
14,0.0271615,1.68277,2.32986,16.9779,186.957,352.939,0.06973,-0.984797,0.143372,0.0689672,-0.115843,-0.292004,-0.949376,-0.157116,0.949164,-0.272767
15,0.0261177,1.68309,2.33039,16.7639,187.11,352.88,0.0703305,-0.984948,0.141402,0.0702583,-0.118512,-0.288429,-0.950139,-0.158413,0.950118,-0.268664
16,0.0247767,1.68329,2.33128,16.5282,187.326,352.76,0.0715162,-0.985044,0.139165,0.0721525,-0.122242,-0.284488,-0.950854,-0.160975,0.951037,-0.263847
17,0.0240737,1.68346,2.33175,16.4482,187.436,352.618,0.0728351,-0.984987,0.138317,0.0732369,-0.124126,-0.283149,-0.95101,-0.163743,0.951127,-0.261812
18,0.0231481,1.68347,2.33235,16.3426,187.564,352.612,0.0729903,-0.985036,0.137323,0.0742912,-0.126313,-0.281381,-0.951247,-0.1642,0.95163,-0.259691
19,0.0219589,1.68338,2.33339,16.3697,187.799,352.588,0.073492,-0.984832,0.13739,0.0763515,-0.130193,-0.281834,-0.950589,-0.165734,0.951446,-0.259389
20,0.0208992,1.68338,2.33424,16.2833,188.048,352.571,0.0738888,-0.984762,0.136475,0.0784759,-0.134392,-0.280387,-0.950432,-0.166946,0.95183,-0.257193
21,0.0203281,1.68328,2.33494,16.216,188.205,352.59,0.0738791,-0.984751,0.135807,0.0797714,-0.137043,-0.279259,-0.950386,-0.167172,0.952197,-0.255686
22,0.0199054,1.68345,2.33569,16.2349,188.325,352.584,0.0740859,-0.984639,0.135889,0.0808141,-0.139011,-0.279577,-0.950007,-0.167859,0.952091,-0.255628
23,0.0194601,1.68363,2.33629,16.0964,188.362,352.633,0.0736329,-0.984819,0.134707,0.0810139,-0.13973,-0.277254,-0.950582,-0.166856,0.952865,-0.253393
